[2025-12-22 14:59:06] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-22 14:59:06] Status: 404, URL: http://localhost/timodesk/assets/admin/js/vendor/bootstrap-toggle.min.js.map, IP: 127.0.0.1
[2025-12-22 14:59:23] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-22 14:59:23] Status: 404, URL: http://localhost/timodesk/assets/admin/js/vendor/bootstrap-toggle.min.js.map, IP: 127.0.0.1
[2025-12-22 14:59:23] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:00:00] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-22 15:00:01] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:00:01] Status: 404, URL: http://localhost/timodesk/assets/admin/js/vendor/bootstrap-toggle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:00:36] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-22 15:00:36] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:00:36] Status: 404, URL: http://localhost/timodesk/assets/admin/js/vendor/bootstrap-toggle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:00:52] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-22 15:00:52] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:00:52] Status: 404, URL: http://localhost/timodesk/assets/admin/js/vendor/bootstrap-toggle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:02:11] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-22 15:02:12] Status: 404, URL: http://localhost/timodesk/assets/admin/js/vendor/bootstrap-toggle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:02:12] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:02:36] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
[2025-12-22 15:02:37] Status: 404, URL: http://localhost/timodesk/assets/global/js/bootstrap.bundle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:02:37] Status: 404, URL: http://localhost/timodesk/assets/admin/js/vendor/bootstrap-toggle.min.js.map, IP: 127.0.0.1
[2025-12-22 15:02:50] Status: 404, URL: http://localhost/timodesk/assets/global/css/bootstrap.min.css.map, IP: 127.0.0.1
